date,user
2018-08-22,1817
2018-08-23,805
2018-08-24,948
2018-08-25,4274
2018-08-26,2941
2018-08-27,1295
2018-08-28,611
2018-08-29,557
2018-08-30,1393
2018-08-31,2563
2018-09-01,3760
2018-09-02,4875
2018-09-03,913
2018-09-04,2818
2018-09-05,3141
2018-09-06,2264
2018-09-07,3292
2018-09-08,6355
2018-09-09,6298
2018-09-10,3340
2018-09-11,3002
2018-09-12,3283
2018-09-13,2963
2018-09-14,2650
2018-09-15,3810
2018-09-16,2127
2018-09-17,2983
2018-09-18,2825
2018-09-19,2112
2018-09-20,951
2018-09-21,1604
2018-09-22,4927
2018-09-23,4603
2018-09-24,5406
2018-09-25,6973
2018-09-26,7149
2018-09-27,3800
2018-09-28,3650
2018-09-29,7170
2018-09-30,5862
2018-10-01,2474
2018-10-02,2812
2018-10-03,6966
2018-10-04,2946
2018-10-05,606
2018-10-06,3206
2018-10-07,6099
2018-10-08,3722
2018-10-09,5278
2018-10-10,1672
2018-10-11,1499
2018-10-12,2032
2018-10-13,3690
2018-10-14,4071
2018-10-15,2109
2018-10-16,1876
2018-10-17,1841
2018-10-18,1702
2018-10-19,2271
2018-10-20,3721
2018-10-21,3960
2018-10-22,2068
2018-10-23,1304
2018-10-24,1777
2018-10-25,1932
2018-10-26,968
2018-10-27,1706
2018-10-28,1170
2018-10-29,870
2018-10-30,843
2018-10-31,929
2018-11-01,1381
2018-11-02,1549
2018-11-03,2563
2018-11-04,2790
2018-11-05,1408
2018-11-06,1091
2018-11-07,748
2018-11-08,281
2018-11-09,943
2018-11-10,1714
2018-11-11,1093
2018-11-12,972
2018-11-13,1012
2018-11-14,1057
2018-11-15,995
2018-11-16,962
2018-11-17,1243
2018-11-18,1330
2018-11-19,810
2018-11-20,766
2018-11-21,515
2018-11-22,513
2018-11-23,573
2018-11-24,367
2018-11-25,922
2018-11-26,661
2018-11-27,455
2018-11-28,567
2018-11-29,542
2018-11-30,598
2018-12-01,1002
2018-12-02,1058
2018-12-03,339
2018-12-04,427
2018-12-05,430
2018-12-06,386
2018-12-07,175
2018-12-08,187
2018-12-09,197
2018-12-10,231
2018-12-11,300
2018-12-12,263
2018-12-13,152
2018-12-14,214
2018-12-15,313
2018-12-16,315
2018-12-17,321
2018-12-18,416
2018-12-19,429
2018-12-20,539
2018-12-21,798
2018-12-22,636
2018-12-23,599
2018-12-24,338
2018-12-25,497
2018-12-26,338
2018-12-27,159
2018-12-28,150
2018-12-29,168
2018-12-30,223
2018-12-31,245
2019-01-01,371
2019-01-02,295
2019-01-03,342
2019-01-04,352
2019-01-05,389
2019-01-06,455
2019-01-07,345
2019-01-08,329
2019-01-09,305
2019-01-10,361
2019-01-11,462
2019-01-12,576
2019-01-13,534
2019-01-14,310
2019-01-15,303
2019-01-16,317
2019-01-17,386
2019-01-18,412
2019-01-19,585
2019-01-20,453
2019-01-21,380
2019-01-22,526
2019-01-23,525
2019-01-24,527
2019-01-25,437
2019-01-26,484
2019-01-27,568
2019-01-28,419
2019-01-29,475
2019-01-30,544
2019-01-31,390
2019-02-01,334
2019-02-02,486
2019-02-03,160
2019-02-04,496
2019-02-05,725
2019-02-06,865
2019-02-07,437
2019-02-08,328
2019-02-09,376
2019-02-10,415
2019-02-11,431
2019-02-12,432
2019-02-13,385
2019-02-14,493
2019-02-15,290
2019-02-16,493
2019-02-17,693
2019-02-18,601
2019-02-19,369
2019-02-20,582
2019-02-21,666
2019-02-22,725
2019-02-23,1636
2019-02-24,1912
2019-02-25,970
2019-02-26,1289
2019-02-27,1228
2019-02-28,1261
2019-03-01,1518
2019-03-02,1527
2019-03-03,1850
2019-03-04,1074
2019-03-05,701
2019-03-06,698
2019-03-07,1096
2019-03-08,1280
2019-03-09,2412
2019-03-10,2577
2019-03-11,1051
2019-03-12,722
2019-03-13,830
2019-03-14,915
2019-03-15,722
2019-03-16,1781
2019-03-17,3393
2019-03-18,1531
2019-03-19,1690
2019-03-20,620
2019-03-21,834
2019-03-22,1055
2019-03-23,1245
2019-03-24,2868
2019-03-25,1179
2019-03-26,1869
2019-03-27,1173
2019-03-28,1441
2019-03-29,2036
2019-03-30,858
2019-03-31,1369
2019-04-01,1399
2019-04-02,1721
2019-04-03,1736
2019-04-04,1921
2019-04-05,2403
2019-04-06,1697
2019-04-07,6689
2019-04-08,3121
2019-04-09,1064
2019-04-10,967
2019-04-11,2372
2019-04-12,3191
2019-04-13,5648
2019-04-14,2328
2019-04-15,2833
2019-04-16,3175
2019-04-17,3356
2019-04-18,1819
2019-04-19,3424
2019-04-20,5178
2019-04-21,5605
2019-04-22,3670
2019-04-23,2573
2019-04-24,2902
2019-04-25,1074
2019-04-26,1110
2019-04-27,6294
2019-04-28,5006
2019-04-29,2861
2019-04-30,3882
2019-05-01,6760
2019-05-02,3957
2019-05-03,4612
2019-05-04,7015
2019-05-05,8006
2019-05-06,8525
2019-05-07,3559
2019-05-08,3181
2019-05-09,3427
2019-05-10,4157
2019-05-11,7220
2019-05-12,7396
2019-05-13,3199
2019-05-14,3993
2019-05-15,3712
2019-05-16,3550
2019-05-17,3980
2019-05-18,6520
2019-05-19,1331
2019-05-20,3188
2019-05-21,3595
2019-05-22,3488
2019-05-23,3290
2019-05-24,3506
2019-05-25,5715
2019-05-26,6237
2019-05-27,1456
2019-05-28,3452
2019-05-29,3213
2019-05-30,2724
2019-05-31,3524
2019-06-01,5874
2019-06-02,5877
2019-06-03,3407
2019-06-04,3005
2019-06-05,3184
2019-06-06,2316
2019-06-07,2923
2019-06-08,5916
2019-06-09,3697
2019-06-10,2467
2019-06-11,3383
2019-06-12,2995
2019-06-13,2944
2019-06-14,3312
2019-06-15,4382
2019-06-16,6425
2019-06-17,3610
2019-06-18,1625
2019-06-19,2707
2019-06-20,3235
2019-06-21,2952
2019-06-22,5830
2019-06-23,5721
2019-06-24,3892
2019-06-25,3384
2019-06-26,2484
2019-06-27,2635
2019-06-28,2566
2019-06-29,3734
2019-06-30,4311
2019-07-01,3834
2019-07-02,3508
2019-07-03,3318
2019-07-04,3255
2019-07-05,2912
2019-07-06,3584
2019-07-07,4350
2019-07-08,3697
2019-07-09,3491
2019-07-10,1549
2019-07-11,1951
