date,dust
2015-11-03,75.07692307692308
2015-11-04,89.66666666666667
2015-11-05,84.82051282051282
2015-11-06,51.8974358974359
2015-11-07,11.564102564102564
2015-11-08,6.3076923076923075
2015-11-09,14.717948717948717
2015-11-10,49.38461538461539
2015-11-11,45.58974358974359
2015-11-12,19.435897435897434
2015-11-13,15.153846153846153
2015-11-14,13.64102564102564
2015-11-15,21.435897435897434
2015-11-16,30.512820512820515
2015-11-17,22.026315789473685
2015-11-18,11.81578947368421
2015-11-19,17.263157894736842
2015-11-20,40.38461538461539
2015-11-21,53.53846153846154
2015-11-22,33.53846153846154
2015-11-23,10.973684210526315
2015-11-24,26.76923076923077
2015-11-25,14.605263157894736
2015-11-26,36.51282051282051
2015-11-27,42.43589743589744
2015-11-28,48.56410256410256
2015-11-29,42.026315789473685
2015-11-30,46.35897435897436
2015-12-01,56.82051282051282
2015-12-02,55.07692307692308
2015-12-03,21.512820512820515
2015-12-04,41.82051282051282
2015-12-05,37.51282051282051
2015-12-06,37.82051282051282
2015-12-07,55.38461538461539
2015-12-08,68.34210526315789
2015-12-09,75.86486486486487
2015-12-10,51.30769230769231
2015-12-11,36.35897435897436
2015-12-12,34.61538461538461
2015-12-13,44.56410256410256
2015-12-14,50.56410256410256
2015-12-15,57.17948717948718
2015-12-16,30.205128205128204
2015-12-17,22.28205128205128
2015-12-18,45.48717948717949
2015-12-19,66.0
2015-12-20,59.41025641025641
2015-12-21,55.15384615384615
2015-12-22,68.56410256410257
2015-12-23,62.58974358974359
2015-12-24,103.92307692307692
2015-12-25,30.974358974358974
2015-12-26,77.1025641025641
2015-12-27,31.71794871794872
2015-12-28,30.28205128205128
2015-12-29,61.282051282051285
2015-12-30,62.743589743589745
2015-12-31,65.94871794871794
2016-01-01,70.73684210526316
2016-01-02,53.78947368421053
2016-01-03,98.86111111111111
2016-01-04,76.2051282051282
2016-01-05,34.333333333333336
2016-01-06,58.0
2016-01-07,41.794871794871796
2016-01-08,37.02564102564103
2016-01-09,39.17948717948718
2016-01-10,34.61538461538461
2016-01-11,42.256410256410255
2016-01-12,51.05128205128205
2016-01-13,39.94871794871795
2016-01-14,47.76923076923077
2016-01-15,54.64102564102564
2016-01-16,71.2051282051282
2016-01-17,72.8974358974359
2016-01-18,58.17948717948718
2016-01-19,35.8974358974359
2016-01-20,41.0
2016-01-21,53.82051282051282
2016-01-22,52.51282051282051
2016-01-23,33.666666666666664
2016-01-24,39.8974358974359
2016-01-25,52.743589743589745
2016-01-26,80.92307692307692
2016-01-27,65.97435897435898
2016-01-28,61.743589743589745
2016-01-29,53.0
2016-01-30,42.63157894736842
2016-01-31,40.68421052631579
2016-02-01,42.39473684210526
2016-02-02,47.68421052631579
2016-02-03,59.421052631578945
2016-02-04,58.526315789473685
2016-02-05,47.5
2016-02-06,52.078947368421055
2016-02-07,47.76315789473684
2016-02-08,75.55263157894737
2016-02-09,51.71052631578947
2016-02-10,43.578947368421055
2016-02-11,49.78947368421053
2016-02-12,36.28947368421053
2016-02-13,17.55263157894737
2016-02-14,30.94736842105263
2016-02-15,34.44736842105263
2016-02-16,28.743589743589745
2016-02-17,41.87179487179487
2016-02-18,46.69230769230769
2016-02-19,86.7948717948718
2016-02-20,48.8974358974359
2016-02-21,29.128205128205128
2016-02-22,47.43589743589744
2016-02-23,56.02564102564103
2016-02-24,35.3421052631579
2016-02-25,54.256410256410255
2016-02-26,53.23076923076923
2016-02-27,69.71052631578948
2016-02-28,48.86486486486486
2016-02-29,57.48717948717949
2016-03-01,33.92307692307692
2016-03-02,39.8974358974359
2016-03-03,59.743589743589745
2016-03-04,73.02564102564102
2016-03-05,24.46153846153846
2016-03-06,95.97368421052632
2016-03-07,112.6923076923077
2016-03-08,73.53846153846153
2016-03-09,46.53846153846154
2016-03-10,37.38461538461539
2016-03-11,38.46153846153846
2016-03-12,46.05128205128205
2016-03-13,64.66666666666667
2016-03-14,67.76923076923077
2016-03-15,59.76923076923077
2016-03-16,67.28205128205128
2016-03-17,80.33333333333333
2016-03-18,70.12820512820512
2016-03-19,79.15384615384616
2016-03-20,84.33333333333333
2016-03-21,89.71794871794872
2016-03-22,74.76923076923077
2016-03-23,82.6923076923077
2016-03-24,43.30769230769231
2016-03-25,72.46153846153847
2016-03-26,68.48717948717949
2016-03-27,68.28205128205128
2016-03-28,72.35897435897436
2016-03-29,99.39473684210526
2016-03-30,91.61538461538461
2016-03-31,54.15384615384615
2016-04-01,74.48717948717949
2016-04-02,82.76923076923077
2016-04-03,53.58974358974359
2016-04-04,32.333333333333336
2016-04-05,60.43589743589744
2016-04-06,76.8974358974359
2016-04-07,44.82051282051282
2016-04-08,78.3076923076923
2016-04-09,118.33333333333333
2016-04-10,134.7948717948718
2016-04-11,48.30769230769231
2016-04-12,58.51282051282051
2016-04-13,60.38461538461539
2016-04-14,59.30769230769231
2016-04-15,56.794871794871796
2016-04-16,53.743589743589745
2016-04-17,47.41025641025641
2016-04-18,64.82051282051282
2016-04-19,47.69230769230769
2016-04-20,65.6923076923077
2016-04-21,29.789473684210527
2016-04-22,84.57894736842105
2016-04-23,201.3421052631579
2016-04-24,147.76315789473685
2016-04-25,80.42105263157895
2016-04-26,82.41025641025641
2016-04-27,52.61538461538461
2016-04-28,60.30769230769231
2016-04-29,66.51282051282051
2016-04-30,79.17948717948718
2016-05-01,46.94871794871795
2016-05-02,48.666666666666664
2016-05-03,19.512820512820515
2016-05-04,52.61538461538461
2016-05-05,57.35897435897436
2016-05-06,50.0
2016-05-07,115.1025641025641
2016-05-08,54.43589743589744
2016-05-09,62.05128205128205
2016-05-10,32.743589743589745
2016-05-11,31.615384615384617
2016-05-12,31.794871794871796
2016-05-13,42.46153846153846
2016-05-14,37.48717948717949
2016-05-15,34.38461538461539
2016-05-16,37.84615384615385
2016-05-17,70.51282051282051
2016-05-18,54.333333333333336
2016-05-19,42.526315789473685
2016-05-20,55.56410256410256
2016-05-21,41.43589743589744
2016-05-22,58.02564102564103
2016-05-23,71.0
2016-05-24,34.82051282051282
2016-05-25,92.64102564102564
2016-05-26,109.61538461538461
2016-05-27,92.71794871794872
2016-05-28,79.02564102564102
2016-05-29,84.25641025641026
2016-05-30,94.25641025641026
2016-05-31,81.17948717948718
2016-06-01,43.84615384615385
2016-06-02,38.41025641025641
