date,count,rain,dust,temp,holiday,user,week
2017-05-16,15270,0.0,38.0,17.1,0.0,1226,1
2017-05-17,15502,0.0,41.74358974358975,18.7,0.0,1328,2
2017-05-18,15977,0.0,51.230769230769226,20.4,0.0,1354,3
2017-05-19,15877,0.0,49.92307692307693,21.1,0.0,1514,4
2017-05-20,16654,0.0,42.0,20.9,0.0,2579,5
2017-05-21,17757,0.0,34.17948717948718,21.5,0.0,2983,6
2017-05-22,17070,0.0,45.97435897435897,21.8,0.0,1642,0
2017-05-23,10174,5.0,38.641025641025635,20.0,0.0,924,1
2017-05-24,17115,0.1,29.64102564102564,21.8,0.0,1323,2
2017-05-25,16387,0.0,41.07692307692308,19.2,0.0,1239,3
2017-05-26,17966,0.0,27.0,17.7,0.0,1638,4
2017-05-27,18286,0.0,36.05128205128205,19.5,0.0,2631,5
2017-05-28,18005,0.0,48.256410256410255,21.2,0.0,2746,6
2017-05-29,17619,0.0,72.2051282051282,22.9,0.0,1488,0
2017-05-30,17703,0.0,52.74358974358975,23.6,0.0,1303,1
2017-05-31,17937,0.0,40.769230769230774,23.3,0.0,1368,2
2017-06-01,17693,0.0,40.66666666666666,23.3,0.0,1385,3
2017-06-02,11994,0.0,30.897435897435894,20.5,0.0,1301,4
2017-06-03,19353,0.0,34.05128205128205,20.5,0.0,2771,5
2017-06-04,19225,0.0,30.948717948717945,21.7,0.0,2940,6
2017-06-05,19443,0.0,29.23076923076923,24.2,0.0,2048,0
2017-06-06,7604,15.5,23.025641025641022,19.4,1.0,1247,1
2017-06-07,8644,12.5,18.33333333333333,17.6,0.0,667,2
2017-06-08,18859,0.0,47.42105263157895,20.1,0.0,1307,3
2017-06-09,18356,0.1,63.73684210526316,21.2,0.0,1443,4
2017-06-10,19865,4.5,52.07894736842106,21.5,0.0,2666,5
2017-06-11,19524,0.0,32.07894736842105,22.8,0.0,2828,6
2017-06-12,19588,0.0,33.631578947368425,22.1,0.0,1539,0
2017-06-13,19196,0.0,39.512820512820504,21.5,0.0,1489,1
2017-06-14,19692,0.0,46.769230769230774,21.8,0.0,1419,2
2017-06-15,19520,0.0,54.33333333333334,23.1,0.0,1495,3
2017-06-16,19954,0.0,71.23076923076924,25.5,0.0,1555,4
2017-06-17,19353,0.0,54.56410256410256,24.2,0.0,2534,5
2017-06-18,18441,0.0,46.4102564102564,24.3,0.0,2406,6
2017-06-19,20591,0.0,55.74358974358975,24.8,0.0,1761,0
2017-06-20,19798,0.0,55.92307692307693,26.0,0.0,1799,1
2017-06-21,21198,0.0,60.948717948717956,25.4,0.0,1794,2
2017-06-22,21526,0.0,40.56410256410256,25.3,0.0,1787,3
2017-06-23,20590,0.0,46.43589743589744,26.7,0.0,1760,4
2017-06-24,11639,3.5,45.20512820512821,24.5,0.0,1441,5
2017-06-25,12602,1.5,38.846153846153854,23.8,0.0,1477,6
2017-06-26,10458,29.0,29.743589743589745,23.1,0.0,843,0
2017-06-27,19419,0.0,33.153846153846146,25.2,0.0,1324,1
2017-06-28,21105,0.0,50.30769230769231,26.0,0.0,1500,2
2017-06-29,20856,0.0,53.51282051282051,26.2,0.0,1485,3
2017-06-30,20619,0.0,57.282051282051285,25.9,0.0,1442,4
2017-07-01,13859,0.5,46.20512820512821,25.3,0.0,1506,5
2017-07-02,3885,92.0,27.66666666666667,24.3,0.0,513,6
2017-07-03,10190,67.5,25.86842105263158,24.7,0.0,641,0
2017-07-04,18347,0.5,37.76315789473684,26.7,0.0,1459,1
2017-07-05,5222,0.0,43.92105263157895,27.4,0.0,380,2
2017-07-06,9,34.0,53.48717948717949,27.6,0.0,38,3
2017-07-07,3245,16.5,25.102564102564106,26.4,0.0,484,4
2017-07-08,9610,4.5,28.820512820512818,26.0,0.0,745,5
2017-07-09,6475,32.5,28.897435897435894,26.3,0.0,655,6
2017-07-10,1199,144.5,15.871794871794872,24.0,0.0,255,0
2017-07-11,16142,1.0,43.384615384615394,26.0,0.0,1001,1
2017-07-12,18529,0.0,50.5897435897436,27.1,0.0,1007,2
2017-07-13,18236,0.0,54.71794871794872,27.6,0.0,1006,3
2017-07-14,17158,0.0,52.641025641025635,28.7,0.0,912,4
2017-07-15,5399,42.5,23.179487179487182,25.0,0.0,423,5
2017-07-16,13269,22.5,19.871794871794872,26.2,0.0,1184,6
