date,count,shift1,rain,dust,temp,holiday,user,week,predict
2017-04-04,10155,9274.0,0.0,78.48717948717949,14.1,0.0,908,1,10717.5947265625
2017-04-05,1877,10155.0,37.5,53.0,12.0,0.0,214,2,856.3629760742188
2017-04-06,6257,1877.0,3.0,28.69230769230769,10.4,0.0,405,3,8157.21728515625
2017-04-07,11361,6257.0,0.0,45.769230769230774,14.5,0.0,1228,4,15666.0908203125
2017-04-08,10632,11361.0,0.5,65.15384615384616,13.0,0.0,1721,5,10931.390625
2017-04-09,10909,10632.0,0.5,42.94871794871795,14.8,0.0,1918,6,12612.9296875
2017-04-10,12933,10909.0,0.0,30.743589743589745,16.5,0.0,1393,0,15460.4912109375
2017-04-11,11615,12933.0,0.0,59.74358974358975,15.3,0.0,1026,1,11176.6640625
2017-04-12,10244,11615.0,0.0,66.51282051282051,11.5,0.0,831,2,9399.0927734375
2017-04-13,10510,10244.0,0.0,73.92307692307692,12.7,0.0,737,3,10456.1533203125
2017-04-14,6671,10510.0,6.0,60.153846153846146,13.0,0.0,363,4,7542.53369140625
2017-04-15,12422,6671.0,0.0,71.07692307692308,16.8,0.0,2087,5,15303.966796875
2017-04-16,13145,12422.0,0.0,63.48717948717949,18.7,0.0,2104,6,13833.0
2017-04-17,7205,13145.0,5.5,50.23076923076921,14.7,0.0,464,0,4484.1650390625
2017-04-18,7513,7205.0,7.5,43.51282051282051,11.7,0.0,422,1,7326.9912109375
2017-04-19,11360,7513.0,0.0,86.89743589743591,12.6,0.0,831,2,11472.970703125
2017-04-20,10198,11360.0,0.1,86.46153846153847,12.9,0.0,584,3,9696.416015625
2017-04-21,11487,10198.0,0.0,71.94871794871794,13.1,0.0,921,4,13086.55859375
2017-04-22,13132,11487.0,0.0,65.23076923076923,14.8,0.0,2047,5,15469.3720703125
2017-04-23,13131,13132.0,0.0,52.07894736842106,14.9,0.0,2257,6,15089.0556640625
2017-04-24,12650,13131.0,0.0,46.07692307692307,15.1,0.0,1070,0,12321.396484375
2017-04-25,11825,12650.0,0.0,62.20512820512821,16.0,0.0,889,1,12126.052734375
2017-04-26,12950,11825.0,0.0,46.82051282051282,15.1,0.0,1061,2,13220.7353515625
2017-04-27,12424,12950.0,0.0,48.20512820512821,13.6,0.0,976,3,13085.2060546875
2017-04-28,12970,12424.0,0.0,66.82051282051282,14.4,0.0,1174,4,14557.4453125
2017-04-29,14312,12970.0,0.0,66.38461538461539,17.1,0.0,2319,5,16313.771484375
2017-04-30,13592,14312.0,0.0,95.64102564102564,19.3,0.0,2555,6,15068.583984375
2017-05-01,14168,13592.0,0.0,96.25641025641028,20.1,0.0,2201,0,17486.939453125
2017-05-02,13490,14168.0,0.0,103.46153846153848,20.7,0.0,1430,1,11594.69140625
2017-05-03,16305,13490.0,0.0,73.55263157894737,21.5,1.0,2956,2,18480.9296875
2017-05-04,15316,16305.0,0.0,67.25641025641025,21.0,0.0,2036,3,17834.353515625
2017-05-05,15488,15316.0,0.0,58.74358974358975,20.9,1.0,2651,4,17470.4375
2017-05-06,7484,15488.0,0.0,194.82051282051282,14.9,0.0,967,5,5194.57470703125
2017-05-07,9528,7484.0,0.0,94.20512820512822,16.6,0.0,1273,6,9865.8134765625
2017-05-08,11092,9528.0,0.0,178.1282051282051,17.9,0.0,811,0,9116.755859375
2017-05-09,6778,11092.0,2.5,128.35897435897436,17.1,1.0,735,1,10648.3662109375
