가입일자,사용자코드,연령대코드,성별,가입 수
2019-12-21,회원-내국인,AGE_006,M,5
2019-12-21,회원-내국인,AGE_007,M,1
2019-12-22,회원-내국인,AGE_001,F,71
2019-12-22,회원-내국인,AGE_001,M,92
2019-12-22,회원-내국인,AGE_002,F,120
2019-12-22,회원-내국인,AGE_002,M,205
2019-12-22,회원-내국인,AGE_003,F,37
2019-12-22,회원-내국인,AGE_003,M,92
2019-12-22,회원-내국인,AGE_004,F,23
2019-12-22,회원-내국인,AGE_004,M,51
2019-12-22,회원-내국인,AGE_005,F,14
2019-12-22,회원-내국인,AGE_005,M,16
2019-12-22,회원-내국인,AGE_006,F,1
2019-12-22,회원-내국인,AGE_006,M,7
2019-12-23,회원-내국인,AGE_001,F,44
2019-12-23,회원-내국인,AGE_001,M,65
2019-12-23,회원-내국인,AGE_002,F,80
2019-12-23,회원-내국인,AGE_002,M,91
2019-12-23,회원-내국인,AGE_003,F,26
2019-12-23,회원-내국인,AGE_003,M,50
2019-12-23,회원-내국인,AGE_004,F,20
2019-12-23,회원-내국인,AGE_004,M,37
2019-12-23,회원-내국인,AGE_005,F,7
2019-12-23,회원-내국인,AGE_005,M,14
2019-12-23,회원-내국인,AGE_006,F,6
2019-12-23,회원-내국인,AGE_006,M,8
2019-12-23,회원-내국인,AGE_008,M,1
2019-12-24,회원-내국인,AGE_001,F,60
2019-12-24,회원-내국인,AGE_001,M,78
2019-12-24,회원-내국인,AGE_002,F,77
2019-12-24,회원-내국인,AGE_002,M,131
2019-12-24,회원-내국인,AGE_003,F,37
2019-12-24,회원-내국인,AGE_003,M,50
2019-12-24,회원-내국인,AGE_004,F,17
2019-12-24,회원-내국인,AGE_004,M,43
2019-12-24,회원-내국인,AGE_005,F,4
2019-12-24,회원-내국인,AGE_005,M,16
2019-12-24,회원-내국인,AGE_006,F,2
2019-12-24,회원-내국인,AGE_006,M,5
2019-12-24,회원-내국인,AGE_007,M,3
2019-12-24,회원-내국인,AGE_008,M,1
2019-12-25,회원-내국인,AGE_001,F,68
2019-12-25,회원-내국인,AGE_001,M,117
2019-12-25,회원-내국인,AGE_002,F,123
2019-12-25,회원-내국인,AGE_002,M,151
2019-12-25,회원-내국인,AGE_003,F,38
2019-12-25,회원-내국인,AGE_003,M,62
2019-12-25,회원-내국인,AGE_004,F,28
2019-12-25,회원-내국인,AGE_004,M,64
2019-12-25,회원-내국인,AGE_005,F,14
2019-12-25,회원-내국인,AGE_005,M,24
2019-12-25,회원-내국인,AGE_006,F,5
2019-12-25,회원-내국인,AGE_006,M,7
2019-12-25,회원-내국인,AGE_007,M,2
2019-12-26,회원-내국인,AGE_001,F,45
2019-12-26,회원-내국인,AGE_001,M,75
2019-12-26,회원-내국인,AGE_002,F,76
2019-12-26,회원-내국인,AGE_002,M,119
2019-12-26,회원-내국인,AGE_003,F,24
2019-12-26,회원-내국인,AGE_003,M,48
2019-12-26,회원-내국인,AGE_004,F,10
2019-12-26,회원-내국인,AGE_004,M,31
2019-12-26,회원-내국인,AGE_005,F,4
2019-12-26,회원-내국인,AGE_005,M,15
2019-12-26,회원-내국인,AGE_006,M,3
2019-12-27,회원-내국인,AGE_001,F,42
2019-12-27,회원-내국인,AGE_001,M,46
2019-12-27,회원-내국인,AGE_002,F,65
2019-12-27,회원-내국인,AGE_002,M,86
2019-12-27,회원-내국인,AGE_003,F,29
2019-12-27,회원-내국인,AGE_003,M,61
2019-12-27,회원-내국인,AGE_004,F,16
2019-12-27,회원-내국인,AGE_004,M,32
2019-12-27,회원-내국인,AGE_005,F,5
2019-12-27,회원-내국인,AGE_005,M,10
2019-12-27,회원-내국인,AGE_006,F,1
2019-12-27,회원-내국인,AGE_006,M,7
2019-12-27,회원-내국인,AGE_008,F,1
2019-12-27,회원-내국인,AGE_008,M,1
2019-12-28,회원-내국인,AGE_001,F,70
2019-12-28,회원-내국인,AGE_001,M,80
2019-12-28,회원-내국인,AGE_002,F,88
2019-12-28,회원-내국인,AGE_002,M,158
2019-12-28,회원-내국인,AGE_003,F,52
2019-12-28,회원-내국인,AGE_003,M,74
2019-12-28,회원-내국인,AGE_004,F,22
2019-12-28,회원-내국인,AGE_004,M,50
2019-12-28,회원-내국인,AGE_005,F,11
2019-12-28,회원-내국인,AGE_005,M,13
2019-12-28,회원-내국인,AGE_006,F,1
2019-12-28,회원-내국인,AGE_006,M,4
2019-12-28,회원-내국인,AGE_007,M,3
2019-12-28,회원-내국인,AGE_008,F,1
2019-12-29,회원-내국인,AGE_001,F,46
2019-12-29,회원-내국인,AGE_001,M,69
2019-12-29,회원-내국인,AGE_002,F,105
2019-12-29,회원-내국인,AGE_002,M,164
2019-12-29,회원-내국인,AGE_003,F,29
2019-12-29,회원-내국인,AGE_003,M,63
2019-12-29,회원-내국인,AGE_004,F,25
2019-12-29,회원-내국인,AGE_004,M,36
2019-12-29,회원-내국인,AGE_005,F,13
2019-12-29,회원-내국인,AGE_005,M,20
2019-12-29,회원-내국인,AGE_006,F,2
2019-12-29,회원-내국인,AGE_006,M,8
2019-12-29,회원-내국인,AGE_007,M,1
2019-12-30,회원-내국인,AGE_001,F,36
2019-12-30,회원-내국인,AGE_001,M,49
2019-12-30,회원-내국인,AGE_002,F,65
2019-12-30,회원-내국인,AGE_002,M,90
2019-12-30,회원-내국인,AGE_003,F,18
2019-12-30,회원-내국인,AGE_003,M,42
2019-12-30,회원-내국인,AGE_004,F,16
